2026-02-08 23:01:00 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:00 | CRITICAL | Anomaly Detected     | 52.37.32.106    | ML-based anomaly detection (score: -0.687)
2026-02-08 23:01:00 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:02 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.660)
2026-02-08 23:01:02 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:03 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:03 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:03 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.617)
2026-02-08 23:01:04 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.648)
2026-02-08 23:01:04 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.648)
2026-02-08 23:01:05 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.648)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:06 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.657)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.658)
2026-02-08 23:01:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.620)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.622)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.608)
2026-02-08 23:01:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.648)
2026-02-08 23:01:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.596)
2026-02-08 23:01:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.613)
2026-02-08 23:01:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.683)
2026-02-08 23:01:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.694)
2026-02-08 23:01:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:14 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.689)
2026-02-08 23:01:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:16 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:16 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.676)
2026-02-08 23:01:16 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:16 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.618)
